policy,event_recall_mean,event_recall_ci_low,event_recall_ci_high,detection_delay_sec_mean,detection_delay_ci_low,detection_delay_ci_high,energy_mj_mean,energy_ci_low,energy_ci_high,sampled_frames_mean,mean_selected_fps,total_events,detected_events,energy_reduction_vs_20fps_pct
Edge-AI-Adaptive,0.9965156794425087,0.9895470383275261,1.0,0.04178571428571428,0.02652661064425771,0.05967962184873949,1511.3114285714285,1088.9451428571429,1938.3675714285712,142.71428571428572,11.061460635918536,266,265,54.76032660615429
Fixed-1-FPS,0.5044723987155838,0.4246936274509804,0.5918067226890756,0.23307940847790473,0.2012789549631655,0.2653358070500928,248.7914285714286,158.3807142857143,368.2085714285714,16.714285714285715,1.0,266,129,92.55266468645792
Fixed-10-FPS,0.9965156794425087,0.9895470383275261,1.0,0.032785714285714286,0.030345903361344535,0.03608403361344538,1714.5742857142861,1084.8914285714286,2538.2542857142857,163.0,10.0,266,265,48.67584587213713
Fixed-20-FPS,0.9965156794425087,0.9895470383275261,1.0,0.008382352941176471,0.00673109243697479,0.0106218487394958,3340.6771428571437,2111.2535714285714,4951.642857142857,325.2857142857143,20.0,266,265,0.0
Fixed-5-FPS,0.9905282844845255,0.9811436769829883,0.9982142857142857,0.08448543514068459,0.07880196175132884,0.08927552839317546,898.66,568.1457142857142,1331.56,81.57142857142857,5.0,266,263,73.09946571995242
Visual-Threshold,0.8395478923276628,0.7186274509803923,0.9542537746806039,0.10879319000327405,0.052732947724544364,0.1752270871985158,998.8599999999998,568.8342857142858,1618.697214285714,91.57142857142857,10.137714038926072,266,231,70.10007380881721
